         Part Number       Quantity   Unit Cost  Unit Price     Total Cost    Total Price
            57630177              38        26.52        26.52         1007.76         1132.78
            34171236              19        24.01        24.01          456.19          556.51
            81982758              56        10.68        10.68          598.08          831.04
            77430412              70        29.20        29.20         2044.00         2411.50
            43548519              44        13.50        13.50          594.00          745.80
            83762728              45        22.25        22.25         1001.25         1138.95
            75724437              74        23.26        23.26         1721.24         1988.38
            56664402              75        12.40        12.40          930.00         1194.75
            34763532              86        15.68        15.68         1348.48         1820.62
            62283911               7        15.50        15.50          108.50          147.77
            84623811               2        15.66        15.66           31.32           41.80
            60683021               2        18.36        18.36           36.72           47.50
            79195238              21        11.38        11.38          238.98          333.06
            35631998              79        25.89        25.89         2045.31         2335.24
            41610696               9        14.03        14.03          126.27          155.70
            80858072              98        13.32        13.32         1305.36         1655.22
            86578282              36        29.59        29.59         1065.24         1206.36
            78039357              82        16.45        16.45         1348.90         1836.80
            38944334              93        13.73        13.73         1276.89         1721.43
            40749682              96        14.45        14.45         1387.20         1872.00
            60360685              42        28.86        28.86         1212.12         1391.88
            59333352              73        25.88        25.88         1889.24         2148.39
            44735928               9        27.18        27.18          244.62          285.84
            43771833              50        18.24        18.24          912.00         1076.00
            73638310              31        14.74        14.74          456.94          599.85
            56411306              64        10.97        10.97          702.08         1064.96
            83391843              30        20.31        20.31          609.30          710.10
            83234292              26        23.80        23.80          618.80          760.24
            58759637              78        15.20        15.20         1185.60         1420.38
            71529535              21        27.36        27.36          574.56          651.84
            26383509              27        22.91        22.91          618.57          733.05
            56953445              35        21.16        21.16          740.60          904.75
            75268158              29        13.03        13.03          377.87          546.36
            85598406              64        10.32        10.32          660.48          903.68
            57739204               1        23.02        23.02           23.02           27.52
            66992188              85        29.40        29.40         2499.00         2887.45
            32913509              42        11.94        11.94          501.48          690.06
            79170842              16        29.59        29.59          473.44          556.00
            24467721               3        15.72        15.72           47.16           65.13
            29257517              83        10.76        10.76          893.08         1156.19
            34389249              83        17.68        17.68         1467.44         1874.14
            56827836              55        15.74        15.74          865.70         1109.35
            24388225              28        17.90        17.90          501.20          633.92
            18870895              77        22.80        22.80         1755.60         2040.50
            18398033              13        29.16        29.16          379.08          418.86
            43849621              22        20.16        20.16          443.52          524.04
            35303316              84        10.96        10.96          920.64         1178.52
            38917581              77        26.47        26.47         2038.19         2392.39
            28458648              97        19.67        19.67         1907.99         2204.81
            44544249               3        26.55        26.55           79.65           90.57
            72216160               2        10.67        10.67           21.34           29.44
            88563106              11        11.74        11.74          129.14          176.11
            64853503              41        12.51        12.51          512.91          689.62
            28062267              47        14.68        14.68          689.96          848.82
            19784361               6        18.19        18.19          109.14          127.20
            49559225              94        21.63        21.63         2033.22         2551.16
            31353041              28        21.82        21.82          610.96          774.76
            77643941              27        13.18        13.18          355.86          448.74
            27176633              51        12.76        12.76          650.76          827.22
            27240862              43        28.12        28.12         1209.16         1345.04
            18977685              81        16.39        16.39         1327.59         1649.16
            21552284              30        10.40        10.40          312.00          455.40
            80203561               4        28.03        28.03          112.12          131.56
            14375908              58        15.24        15.24          883.92         1152.46
            65014865              54        28.95        28.95         1563.30         1851.12
            35304393              38        29.75        29.75         1130.50         1279.08
            47216256              83        24.21        24.21         2009.43         2491.66
            85699185              26        13.43        13.43          349.18          499.98
            38561693              47        18.00        18.00          846.00         1034.00
            70692724               6        19.41        19.41          116.46          137.28
            72874936               5        18.34        18.34           91.70          114.80
            85699860              21        20.28        20.28          425.88          490.77
            31917171              58        23.27        23.27         1349.66         1582.82
            27470967              10        16.17        16.17          161.70          203.60
            36760711              52        18.94        18.94          984.88         1219.92
            80924508              94        23.82        23.82         2239.08         2645.16
            48635725              21        18.82        18.82          395.22          498.12
            36473623              16        15.21        15.21          243.36          318.24
            46132369              64        28.23        28.23         1806.72         2069.76
            17461679              54        10.76        10.76          581.04          903.96
            82258988              50        17.04        17.04          852.00         1038.00
            73556705              24        21.20        21.20          508.80          623.04
            38280325              17        12.94        12.94          219.98          272.17
            78206035              11        25.00        25.00          275.00          332.09
            65537294              64        21.96        21.96         1405.44         1764.48
            36511952              85        13.32        13.32         1132.20         1518.95
            86232263              80        11.06        11.06          884.80         1194.40
            72591229              27        15.58        15.58          420.66          551.07
            50134836               8        27.71        27.71          221.68          251.84
            52700852              67        28.70        28.70         1922.90         2129.93
            74627727              31        23.93        23.93          741.83          869.86
            22662424               1        11.84        11.84           11.84           15.28
            31050885              78        18.33        18.33         1429.74         1712.10
            47578754              90        26.20        26.20         2358.00         2739.60
            88046718              25        22.56        22.56          564.00          687.25
            87209284              91        27.20        27.20         2475.20         2859.22
            85466608              62        12.70        12.70          787.40          999.44
            47533952              96        11.85        11.85         1137.60         1515.84
            12880478              18        24.61        24.61          442.98          543.60
            83740526              23        19.56        19.56          449.88          519.57
            11303142              47        10.56        10.56          496.32          768.45
            49265048              58        13.50        13.50          783.00         1096.20
            80581530              95        11.64        11.64         1105.80         1519.05
            69384947              99        12.41        12.41         1228.59         1658.25
            66910032              10        12.87        12.87          128.70          171.10
            86767861              93        16.94        16.94         1575.42         2085.99
            50310242              84        10.30        10.30          865.20         1159.20
            43715790              31        27.98        27.98          867.38          982.08
            49336268              99        15.02        15.02         1486.98         1832.49
            37055841              87        19.81        19.81         1723.47         2127.15
            48583427              80        15.99        15.99         1279.20         1654.40
            60027243              72        19.48        19.48         1402.56         1794.96
            37761798              48        13.31        13.31          638.88          862.56
            12968942              80        18.72        18.72         1497.60         1797.60
            74435780              64        24.09        24.09         1541.76         1893.12
            14379934              45        29.70        29.70         1336.50         1492.65
            39941194              44        19.12        19.12          841.28         1026.52
            71540862              46        25.58        25.58         1176.68         1393.80
            21390393              99        10.14        10.14         1003.86         1394.91
            31081490               1        20.71        20.71           20.71           24.06
            68262175              92        19.83        19.83         1824.36         2254.00
            71387635              81        14.74        14.74         1193.94         1451.52
            47296985               1        10.99        10.99           10.99           15.81
            79334055              46        26.54        26.54         1220.84         1415.42
            14578137              41        16.99        16.99          696.59          872.07
            76427814              70        21.25        21.25         1487.50         1705.20
            21098319              27        16.73        16.73          451.71          562.68
            52968876              99        11.77        11.77         1165.23         1744.38
            33483040              55        24.25        24.25         1333.75         1566.40
            72247784              90        11.52        11.52         1036.80         1553.40
            19103941              66        25.55        25.55         1686.30         1900.14
            60123854              80        22.90        22.90         1832.00         2107.20
            23132529              24        24.77        24.77          594.48          680.16
            34189844              93        16.77        16.77         1559.61         1946.49
            15276046              96        15.72        15.72         1509.12         1864.32
            43891580              46        11.44        11.44          526.24          741.98
            68740451               3        10.94        10.94           32.82           48.42
            22142782              41        17.65        17.65          723.65          893.80
            67167784               7        20.82        20.82          145.74          168.56
            42884653              91        15.56        15.56         1415.96         1758.12
            55396347              65        12.49        12.49          811.85         1172.60
            15555649              71        18.67        18.67         1325.57         1567.68
            69358897              32        23.73        23.73          759.36          919.36
            42978025              89        27.65        27.65         2460.85         2969.04
            58045576              64        10.51        10.51          672.64         1036.80
            29022294              63        14.43        14.43          909.09         1148.49
            71733835              17        22.36        22.36          380.12          436.39
            54036898              68        10.71        10.71          728.28          937.04
            72660734              37        22.74        22.74          841.38         1006.03
            37303335              98        14.00        14.00         1372.00         1865.92
            43984612              76        25.76        25.76         1957.76         2394.76
            38932471              34        12.93        12.93          439.62          589.22
            40095023              62        18.63        18.63         1155.06         1507.22
            36020570              22        15.27        15.27          335.94          435.16
            81106814               9        12.55        12.55          112.95          156.42
            63689991              40        26.49        26.49         1059.60         1274.80
            14366464              32        10.12        10.12          323.84          505.92
            40278707              84        20.15        20.15         1692.60         2041.20
            31396612              63        15.52        15.52          977.76         1329.93
            42770709              50        12.19        12.19          609.50          772.00
            76076746              64        15.72        15.72         1006.08         1234.56
            13045439              80        20.24        20.24         1619.20         1920.00
            88491828              34        29.57        29.57         1005.38         1164.16
            39898842               8        20.69        20.69          165.52          203.36
            80955309               3        16.51        16.51           49.53           60.21
            51080942              56        23.57        23.57         1319.92         1629.04
            78122228              85        13.73        13.73         1167.05         1576.75
            12949685               6        26.89        26.89          161.34          185.76
            64463514               1        15.90        15.90           15.90           19.22
            44928407              38        14.42        14.42          547.96          761.14
            67515582              61        17.43        17.43         1063.23         1255.99
            55371335              27        18.18        18.18          490.86          634.50
            78907535              46        22.91        22.91         1053.86         1256.72
            40176566              78        23.29        23.29         1816.62         2280.72
            75647204              28        19.39        19.39          542.92          696.36
            64382696              86        15.98        15.98         1374.28         1769.02
            26782989              32        17.16        17.16          549.12          669.76
            77189549              21        21.15        21.15          444.15          517.44
            17103483              86        24.10        24.10         2072.60         2352.96
            17327188              41        23.79        23.79          975.39         1155.38
            11458375             100        18.51        18.51         1851.00         2168.00
            52715440              86        16.72        16.72         1437.92         1724.30
            74497902              82        20.00        20.00         1640.00         1903.22
            16768461              35        10.07        10.07          352.45          534.80
            54979164              83        21.06        21.06         1747.98         2087.45
            75541722              78        22.80        22.80         1778.40         2025.66
            80101873              62        28.13        28.13         1744.06         2001.36
            43151607              65        13.59        13.59          883.35         1245.40
            46318094              53        13.39        13.39          709.67          993.22
            22877827               6        16.46        16.46           98.76          127.14
            27640169              59        10.52        10.52          620.68          905.65
            21323997              81        12.74        12.74         1031.94         1311.39
            88189478              86        15.24        15.24         1310.64         1681.30
            26923610              35        21.70        21.70          759.50          877.10
            55263273              42        18.62        18.62          782.04          933.24
            53741016              54        23.69        23.69         1279.26         1463.40
            52614745              37        22.62        22.62          836.94         1045.25
            49045379              25        14.14        14.14          353.50          476.00
            56884152               4        15.70        15.70           62.80           85.04
            71351528              91        18.02        18.02         1639.82         1980.16
            62839762              93        14.75        14.75         1371.75         1877.67
            88301639              13        23.37        23.37          303.81          355.16
            50040763              32        14.71        14.71          470.72          640.64
            18982295              44        21.43        21.43          942.92         1131.24
            60716308              47        20.86        20.86          980.42         1258.66
            37195393              94        25.99        25.99         2443.06         2817.18
            15388347              59        27.85        27.85         1643.15         1924.58
            72771191               3        17.78        17.78           53.34           69.93
            53016903              16        11.19        11.19          179.04          252.64
            56044625              77        26.84        26.84         2066.68         2310.00
            27972823              12        28.73        28.73          344.76          386.04
            44137228              61        23.26        23.26         1418.86         1675.06
            55842246              48        15.98        15.98          767.04         1028.64
            20766559              15        17.28        17.28          259.20          328.20
            27270146              81        23.52        23.52         1905.12         2239.65
            28232368              63        19.07        19.07         1201.41         1510.74
            29435965              39        25.28        25.28          985.92         1217.97
            18059483              19        13.66        13.66          259.54          333.83
            28069210              27        12.45        12.45          336.15          457.38
            17692750              97        18.54        18.54         1798.38         2256.22
            81379037              14        27.74        27.74          388.36          441.84
            54221156              93        13.04        13.04         1212.72         1685.16
            49300488              61        10.69        10.69          652.09          993.08
            28810429              81        29.49        29.49         2388.69         2673.81
            69865581              94        21.26        21.26         1998.44         2486.30
            58782510              80        21.90        21.90         1752.00         2039.20
            22387159              81        13.54        13.54         1096.74         1551.15
            58445058               2        21.96        21.96           43.92           54.82
            42145649              30        19.23        19.23          576.90          747.00
            81296480              90        25.59        25.59         2303.10         2801.70
            23842706              77        10.92        10.92          840.84         1119.58
            84777768              66        11.40        11.40          752.40          958.98
            85525597              18        17.05        17.05          306.90          403.56
            27572106              22        25.71        25.71          565.62          694.32
            83480974              83        23.94        23.94         1987.02         2450.99
            56030075              46        18.62        18.62          856.52         1049.26
            58609625               1        23.58        23.58           23.58           27.78
            13258730              62        19.61        19.61         1215.82         1549.38
            81781879              98        21.13        21.13         2070.74         2366.70
            15495526              36        16.20        16.20          583.20          736.92
            76601028              28        21.49        21.49          601.72          717.36
            71327423              62        27.16        27.16         1683.92         1969.74
            80767659              23        26.89        26.89          618.47          733.24
            68458253              17        18.28        18.28          310.76          362.44
            39341800              25        24.32        24.32          608.00          739.50
            36386359              60        12.09        12.09          725.40         1032.60
            79902221              71        22.07        22.07         1566.97         1821.86
            54667311              34        13.30        13.30          452.20          591.60
            86414890              27        10.02        10.02          270.54          389.34
            41677726              77        14.76        14.76         1136.52         1429.89
            43510588              29        25.05        25.05          726.45          846.22
            48509677               4        25.20        25.20          100.80          118.84
            87553231              70        23.79        23.79         1665.30         1974.00
            33429908              40        26.09        26.09         1043.60         1205.60
            22971931              40        17.84        17.84          713.60          943.60
            37511487              37        25.77        25.77          953.49         1122.58
            64002588              59        20.18        20.18         1190.62         1441.96
            61130267              34        10.88        10.88          369.92          487.56
            49052689              79        23.14        23.14         1828.06         2186.72
            24718062              29        24.71        24.71          716.59          886.53
            79153401              57        24.13        24.13         1375.41         1552.68
            79490708              84        10.37        10.37          871.08         1281.00
            23375463              13        15.85        15.85          206.05          261.95
            50317035              30        22.64        22.64          679.20          770.40
            63798705              29        25.13        25.13          728.77          894.65
            51138886              14        29.87        29.87          418.18          482.30
            65853384              51        18.67        18.67          952.17         1150.56
            45117011             100        19.02        19.02         1902.00         2456.00
            39635549               8        28.02        28.02          224.16          266.56
            59142280              97        20.84        20.84         2021.48         2443.43
            29884085              52        26.47        26.47         1376.44         1583.92
            83637016              69        27.45        27.45         1894.05         2188.68
            44560715              50        13.19        13.19          659.50          883.50
            59734200              12        25.75        25.75          309.00          374.64
            59128090              11        16.39        16.39          180.29          221.32
            84666631              32        28.79        28.79          921.28         1112.00
            46621097              48        26.37        26.37         1265.76         1432.32
            83582158              67        22.44        22.44         1503.48         1762.10
            70401508              98        28.82        28.82         2824.36         3335.92
            84001619               3        20.58        20.58           61.74           73.44
            15039599               1        21.53        21.53           21.53           26.95
            15183855              18        24.59        24.59          442.62          536.40
            36990628              49        28.67        28.67         1404.83         1621.41
            13201627              70        18.12        18.12         1268.40         1686.30
            49013255              89        18.32        18.32         1630.48         2160.03
            88452976              45        13.45        13.45          605.25          802.35
            77465093              70        16.94        16.94         1185.80         1598.10
            59474045              55        11.99        11.99          659.45          919.60
            68849001              21        11.90        11.90          249.90          326.76
            82887766              39        16.82        16.82          655.98          840.45
            61299263              98        29.11        29.11         2852.78         3234.98
            54756389               6        10.30        10.30           61.80           80.88
            64418724               9        21.15        21.15          190.35          226.98
            31665020              26        15.76        15.76          409.76          488.28
            81946005              22        19.90        19.90          437.80          534.38
            46182485              57        11.19        11.19          637.83          896.61
            52555493              21        20.65        20.65          433.65          528.99
            63173268               9        15.25        15.25          137.25          166.14
            55473817              57        19.13        19.13         1090.41         1261.41
            80084832              35        23.91        23.91          836.85         1007.65
            82701870              86        10.09        10.09          867.74         1309.78
            83980353              56        20.50        20.50         1148.00         1455.44
            43777863              67        16.83        16.83         1127.61         1380.20
            34311148              62        12.77        12.77          791.74         1127.78
            63758855              39        11.25        11.25          438.75          573.30
            44493871              38        21.74        21.74          826.12          945.44
            50036717               8        24.69        24.69          197.52          229.84
            34307586              41        18.20        18.20          746.20          989.74
            65237455              56        12.63        12.63          707.28          973.84
            36733364              69        29.72        29.72         2050.68         2455.71
            54366510              24        13.73        13.73          329.52          445.92
            81252880              16        14.36        14.36          229.76          288.64
            78023688              28        29.67        29.67          830.76          991.48
            58339617              68        13.73        13.73          933.64         1272.96
            37948824              62        25.06        25.06         1553.72         1777.54
            57301383              68        15.52        15.52         1055.36         1459.28
            54404663              50        25.23        25.23         1261.50         1458.00
            28560733              85        29.66        29.66         2521.10         2958.00
            78629863               8        24.51        24.51          196.08          226.48
            73324460              35        13.12        13.12          459.20          651.00
            40036792              65        17.31        17.31         1125.15         1505.40
            14599689              68        21.52        21.52         1463.36         1805.40
            49142030              36        23.15        23.15          833.40         1008.36
            31803679              94        23.14        23.14         2175.16         2501.34
            77803747              70        26.72        26.72         1870.40         2081.80
            21340084              74        23.88        23.88         1767.12         2175.60
            78407458               4        16.28        16.28           65.12           85.32
            79891110               8        10.47        10.47           83.76          129.20
            40171345              51        17.93        17.93          914.43         1074.06
            58038988              62        13.42        13.42          832.04         1096.78
            35262107               8        14.46        14.46          115.68          159.28
            53518629              69        11.66        11.66          804.54         1206.81
            32827437               8        20.49        20.49          163.92          197.84
            52392582              78        16.69        16.69         1301.82         1584.18
            22217524              54        10.94        10.94          590.76          840.24
            15431795              95        15.33        15.33         1456.35         1819.25
            18082546              53        23.34        23.34         1237.02         1538.59
            23180207              23        21.63        21.63          497.49          593.17
            81735019              16        25.51        25.51          408.16          502.88
            43416112              72        25.53        25.53         1838.16         2060.64
            60289116               3        14.50        14.50           43.50           56.73
            43210345              76        11.33        11.33          861.08         1105.80
            42578554              20        17.59        17.59          351.80          428.80
            86202831              47        29.26        29.26         1375.22         1655.81
            35390230              73        26.80        26.80         1956.40         2335.27
            18422552             100        22.06        22.06         2206.00         2726.00
            50743173              92        24.91        24.91         2291.72         2728.72
            38072280              17        22.95        22.95          390.15          487.05
            77445705              30        29.18        29.18          875.40         1009.50
            41721415              31        12.02        12.02          372.62          557.07
            31650412              77        28.82        28.82         2219.14         2497.11
            31761910              89        17.84        17.84         1587.76         2047.89
            46738486              38        14.87        14.87          565.06          738.72
            65915441              71        18.19        18.19         1291.49         1704.71
            35141667              98        21.15        21.15         2072.70         2590.14
            21291543              84        21.88        21.88         1837.92         2331.84
            62159876              47        12.63        12.63          593.61          814.98
            28342656               2        26.18        26.18           52.36           61.64
            43941327              31        12.59        12.59          390.29          512.74
            75799058              31        25.89        25.89          802.59          953.25
            16643747              76        20.80        20.80         1580.80         2025.40
            17358405              66        15.82        15.82         1044.12         1391.28
            72587977              76        24.53        24.53         1864.28         2261.00
            11531675              85        10.99        10.99          934.15         1369.35
            84179853              47        12.93        12.93          607.71          874.67
            59802180              33        13.26        13.26          437.58          587.07
            55000517              95        11.84        11.84         1124.80         1459.20
            56222908              32        15.37        15.37          491.84          647.04
            80437590              89        12.47        12.47         1109.83         1575.30
            17800899              16        22.20        22.20          355.20          416.16
            41989446              16        22.21        22.21          355.36          436.16
            74543762              61        12.57        12.57          766.77         1028.46
            50019335              63        18.86        18.86         1188.18         1451.52
            16618211              24        17.44        17.44          418.56          498.72
            13174473              91        29.75        29.75         2707.25         3246.88
            46288741              98        26.86        26.86         2632.28         3196.76
            77085365              41        22.53        22.53          923.73         1093.06
            32407988              15        28.85        28.85          432.75          519.75
            83361455              50        10.14        10.14          507.00          803.50
            30739126              14        27.83        27.83          389.62          466.06
            44603982              11        14.04        14.04          154.44          207.57
            34850784              89        12.43        12.43         1106.27         1395.52
            70811150              90        27.85        27.85         2506.50         3013.20
            66698657              48        16.13        16.13          774.24         1047.84
            14947415              10        16.17        16.17          161.70          211.00
            87951178              60        18.19        18.19         1091.40         1402.20
            58810322               4        19.17        19.17           76.68          100.12
            73657743              49        19.68        19.68          964.32         1149.54
            70937179              64        12.78        12.78          817.92         1136.00
            64349453              14        18.46        18.46          258.44          333.76
            55344433              71        29.00        29.00         2059.00         2438.85
            76254359              49        10.58        10.58          518.42          721.77
            86457838              45        22.84        22.84         1027.80         1163.70
            21314622              60        18.99        18.99         1139.40         1451.40
            62028894              95        28.44        28.44         2701.80         3158.75
            18659990              43        15.01        15.01          645.43          892.68
            21523085              56        18.54        18.54         1038.24         1282.40
            62481686              38        27.38        27.38         1040.44         1183.70
